TOTALDEMAND,RRP
4670.4,39.09
4513.84,38.39
4329.71,36.46
4146.21,35.79
4003.9,33.65
3883.99,30.36
3803.84,30.9
3845.66,30.58
3901.61,32.11
3962.77,34.37
4159.89,37.33
4349.67,39.94
4652.33,50.23
4785.24,41.63
4840.02,40.0
4886.21,40.05
4823.65,40.01
4677.42,32.87
4555.65,33.99
4388.46,27.51
4177.25,28.85
4075.69,11.22
3982.4,3.83
3995.01,8.78
3960.07,6.03
3874.91,4.18
3732.48,-6.31
3709.51,-35.29
3686.05,-36.66
3717.91,-35.03
3772.59,-28.05
3965.82,-6.56
4191.31,23.48
4441.26,35.02
4806.06,37.09
5098.44,42.96
5345.9,142.76
5536.92,182.55
5547.56,58.87
5404.33,50.68
5277.41,43.63
5145.51,38.6
5032.58,35.96
4904.25,35.13
4715.23,38.35
4566.56,34.12
4636.28,35.24
4682.82,34.44
4497.31,19.77
4320.44,33.97
4209.87,13.81
3968.8,-30.15
3828.49,-38.51
3744.76,-38.73
3660.92,-41.59
3644.5,-43.5
3628.73,-41.75
3656.66,-42.12
3803.68,-38.7
3966.13,-37.0
4265.33,-13.46
4416.97,-1.09
4397.97,-8.09
4425.3,-20.61
4317.78,-1.07
4172.36,-29.23
4002.31,-35.95
3796.48,-8.82
3560.95,-64.31
3482.79,-55.89
3415.53,-47.77
3359.41,-58.15
3437.62,-45.01
3463.16,-43.69
3488.92,-42.8
3543.53,-35.82
3653.35,-18.68
3779.33,-21.54
3918.6,-15.76
4073.29,-9.36
4405.49,33.91
4609.15,32.91
4850.11,35.25
4991.33,34.85
5036.4,30.22
5115.29,37.7
5101.62,33.26
4999.69,33.0
4802.06,33.0
4641.11,30.61
4496.15,20.03
4432.38,6.55
4321.54,-10.77
4299.38,0.64
4485.88,13.94
4481.78,20.86
4308.78,-8.32
4147.2,-17.49
4021.3,-20.62
3846.39,-41.78
3663.87,-42.08
3588.5,-8.08
3483.9,-42.09
3416.03,-45.6
3361.52,-47.82
3349.05,-46.78
3367.61,-46.24
3352.38,-45.57
3384.93,-45.42
3421.97,-47.81
3326.49,-40.01
3298.75,-43.05
3262.34,-32.66
3209.73,-40.19
3148.64,-40.43
3073.81,-45.48
3058.84,-37.71
3078.33,-37.1
3085.94,-28.55
3185.27,-38.67
3258.66,-39.55
3376.13,-13.81
3434.56,-15.09
3601.56,13.28
3642.24,7.77
3716.67,8.55
3776.11,-0.67
3920.95,16.15
4132.22,28.83
4420.71,35.62
4681.69,35.36
4898.82,37.23
5001.03,39.9
5077.33,43.44
4950.91,40.9
4832.6,38.59
4704.48,37.74
4534.65,33.15
4421.1,33.19
4380.34,37.71
4268.65,38.47
4219.51,39.12
4379.78,44.71
4346.08,43.82
4146.95,37.46
3993.0,34.9
3908.32,34.44
3777.29,31.19
3604.48,30.98
3510.78,33.43
3464.77,36.36
3427.08,37.68
3445.8,37.58
3458.85,37.57
3549.88,35.56
3570.38,35.81
3588.28,32.85
3598.78,32.85
3573.1,26.28
3644.45,13.84
3700.65,28.57
3612.7,22.71
3639.27,12.69
3655.36,0.83
3692.29,0.0
3855.05,18.34
3906.15,23.35
3954.04,18.48
3796.42,21.27
3681.51,3.49
3571.53,0.0
3536.15,11.76
3648.26,31.62
3889.67,39.88
4089.65,34.68
4254.18,31.78
4422.92,46.99
4608.15,37.02
4710.38,34.5
4791.73,17.82
4806.45,35.39
4787.94,39.77
4665.75,35.3
4488.62,18.36
4264.71,5.2
4127.8,12.26
4021.88,10.47
3907.28,9.19
3771.22,1.35
3737.32,-0.48
3959.83,11.95
4046.72,28.19
3981.03,10.96
3853.21,16.32
3715.16,1.57
3585.28,-6.31
3510.14,-12.7
3474.64,-3.94
3475.25,-3.04
3512.48,3.27
3651.72,9.14
3800.72,15.76
4103.44,33.7
4423.47,35.78
4773.18,36.19
5089.63,47.61
5237.61,39.62
5405.07,42.44
5525.85,38.67
5465.23,40.03
5368.11,46.13
5291.22,40.7
5235.83,35.94
5168.02,31.94
5063.04,34.0
4965.12,32.55
4891.3,33.47
4809.3,33.19
4784.64,33.88
4644.46,26.7
4646.17,33.96
4700.35,37.45
4786.39,43.31
5008.42,41.1
5201.56,39.62
5422.49,70.98
5529.06,102.06
5627.08,59.48
5596.99,52.64
5682.67,69.04
5602.28,52.61
5409.7,48.02
5240.13,46.77
5053.41,44.22
4801.28,38.87
4694.57,37.16
4457.46,38.03
4367.04,29.83
4542.14,36.49
4543.69,41.41
4448.97,40.14
4287.65,27.93
4158.59,2.8
4013.12,6.68
3903.26,2.98
3877.46,8.69
3898.04,8.08
3879.7,7.83
4031.36,35.99
4124.43,9.68
4492.06,39.74
4818.51,56.67
5191.03,65.77
5552.27,139.61
5610.16,69.89
5617.97,178.18
5597.88,278.47
5478.93,64.22
5365.57,49.34
5397.17,50.76
5216.36,42.68
5100.57,26.33
5163.87,57.44
5299.9,50.4
5317.89,41.93
5388.42,66.8
5383.79,62.44
5401.62,95.37
5414.97,66.43
5446.56,89.04
5554.98,56.32
5693.96,46.76
5846.46,56.05
6032.81,231.11
6101.55,214.35
6142.91,147.2
6065.22,271.13
5999.07,130.53
5897.72,58.49
5760.84,55.77
5551.74,53.38
5350.52,47.19
5084.51,50.28
4806.73,44.52
4635.19,44.08
4549.08,21.94
4720.06,47.31
4733.63,48.12
4644.69,47.79
4495.38,39.29
4427.23,45.28
4287.34,40.79
4142.93,41.6
4085.73,36.95
4043.66,35.17
4022.39,21.65
4140.44,44.63
4273.83,44.24
4626.32,51.88
4911.36,119.07
5277.9,163.27
5595.86,207.98
5617.23,74.73
5668.23,89.07
5736.31,203.34
5476.76,275.75
5414.7,181.05
5354.64,262.98
5230.21,182.71
5161.68,201.41
5233.86,192.87
5234.92,298.9
5201.49,274.35
5209.0,298.35
5200.92,298.53
5149.21,216.91
5121.22,75.09
5259.71,266.63
5376.3,299.5
5503.77,296.66
5685.85,215.78
5933.47,252.84
5963.57,70.78
5901.17,56.7
5722.79,47.02
5754.23,45.48
5599.5,44.54
5404.51,41.85
5140.69,35.83
4935.13,33.92
4692.7,33.66
4480.54,27.95
4260.52,19.11
4215.74,5.94
4370.55,18.99
4456.44,31.33
4328.18,19.32
4200.2,9.34
4072.96,10.95
3949.43,-1.05
3824.59,-8.3
3737.51,-36.83
3666.18,-62.31
3736.99,-44.59
3774.34,-38.89
3888.81,-22.15
4164.92,6.54
4450.19,21.6
4776.27,31.57
4973.13,40.22
4975.68,39.94
4869.75,34.23
4751.25,21.84
4672.12,23.74
4698.53,12.91
4532.21,17.37
4527.63,24.01
4535.42,27.17
4771.24,26.26
4995.01,42.65
4942.23,35.19
4841.43,29.02
4822.47,29.72
4694.5,28.51
4679.88,23.51
4882.9,28.67
5042.32,34.41
5123.77,31.79
5299.06,32.32
5529.54,35.4
5658.89,29.1
5649.19,30.04
5583.64,73.01
5613.45,80.68
5464.06,47.79
5268.91,49.68
5072.03,45.12
4863.98,39.73
4610.57,39.32
4420.68,34.02
4275.38,43.59
4157.76,32.19
4423.74,40.1
4425.59,43.36
4326.32,37.87
4196.88,19.88
4066.74,22.16
3943.35,24.86
3851.96,31.74
3734.34,24.13
3749.54,29.81
3785.94,31.38
3861.83,30.25
4055.52,42.09
4388.86,42.84
4676.38,50.8
5042.08,48.05
5285.27,78.67
5350.44,47.56
5381.7,32.07
5406.34,37.26
5368.74,40.31
5213.47,33.08
5098.62,42.43
4999.27,28.17
4928.04,22.21
4648.78,-5.52
4733.9,16.87
4737.63,10.65
4567.67,4.41
4504.09,12.74
4351.8,-15.87
4275.3,-6.53
4251.59,8.89
4324.42,14.17
4399.56,22.06
4501.87,46.18
4709.06,29.73
4927.57,41.82
5086.51,52.71
5245.78,287.69
5412.63,299.23
5397.67,145.74
5332.08,244.72
5252.36,136.74
5123.5,95.01
4940.71,103.39
4794.28,59.07
4600.45,123.44
4524.22,50.42
4716.09,56.98
4721.43,46.43
4539.58,42.87
4415.23,38.28
4291.93,33.68
4110.2,33.9
4004.83,19.28
3900.7,8.93
3899.73,23.69
3874.82,34.24
3871.26,35.8
3947.76,39.13
4115.42,45.15
4194.01,46.12
4337.81,41.07
4399.36,30.77
4275.14,15.22
4159.72,31.36
4028.86,39.08
3821.0,16.58
3680.64,15.64
3514.88,-3.26
3369.62,1.16
3247.94,10.02
3173.31,-11.38
3298.67,-10.49
3346.17,-6.64
3339.58,-8.05
3296.61,-5.4
3320.48,-11.31
3369.4,18.89
3415.07,12.41
3586.13,13.25
3708.14,25.91
3946.85,35.87
4276.01,36.4
4490.43,42.7
4695.96,49.84
4801.64,74.84
4877.11,149.59
4850.45,50.58
4762.24,54.14
4601.85,59.11
4536.42,49.22
4471.73,46.96
4331.59,44.06
4205.0,43.53
4155.33,42.29
4337.78,46.92
4306.76,50.43
4180.22,48.43
4087.11,46.55
4000.4,42.78
3816.12,46.43
3754.58,46.75
3667.98,44.78
3614.7,44.95
3604.4,46.64
3615.37,47.41
3655.46,42.19
3749.74,42.34
3736.39,42.03
3804.1,39.79
3892.42,39.18
3873.2,32.36
3882.06,22.47
3901.79,33.64
3862.46,31.61
3933.22,41.5
3836.43,32.19
3758.52,32.24
3593.61,24.28
3456.85,19.74
3319.62,32.87
3156.68,17.44
3050.55,17.03
2982.38,6.67
2975.43,15.36
3045.49,23.2
3160.23,31.2
3347.92,34.83
3533.27,36.71
3840.73,42.67
4191.85,71.04
4487.99,124.79
4740.9,198.89
4848.99,267.26
4916.4,147.73
4999.16,116.95
4897.39,62.59
4787.59,54.54
4670.81,63.61
4537.32,61.12
4344.66,53.15
4278.75,56.3
4246.77,57.33
4450.89,54.64
4496.74,65.43
4374.62,63.47
4261.5,50.49
4181.35,50.19
4059.19,48.6
3936.44,47.79
3907.12,46.06
3927.38,45.48
3954.97,47.16
4105.02,49.53
4220.55,59.22
