,Unnamed: 0,Date,Solar0,Solar1,Solar2,Solar3,Solar4,Solar5,Time,olympic_solar,oakleigh_solar,moorabbin_solar
133602,133602,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,14:00:00,10.4,10.6,10.2
133603,133603,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,14:15:00,10.4,10.6,10.2
133604,133604,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,14:30:00,10.4,10.6,10.2
133605,133605,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,14:45:00,10.4,10.6,10.2
133606,133606,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,15:00:00,10.4,10.6,10.2
133607,133607,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,15:15:00,10.4,10.6,10.2
133608,133608,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,15:30:00,10.4,10.6,10.2
133609,133609,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,15:45:00,10.4,10.6,10.2
133610,133610,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,16:00:00,10.4,10.6,10.2
133611,133611,2020-04-25,0.0,7.63,3.75,1.34,1.66,0.0,16:15:00,10.4,10.6,10.2
133612,133612,2020-04-25,0.0,7.63,3.76,1.34,1.66,0.0,16:30:00,10.4,10.6,10.2
133613,133613,2020-04-25,0.0,7.63,3.76,1.34,1.66,0.0,16:45:00,10.4,10.6,10.2
133614,133614,2020-04-25,0.0,7.63,3.76,1.34,1.66,0.0,17:00:00,10.4,10.6,10.2
133615,133615,2020-04-25,0.0,7.63,3.76,1.34,1.66,0.0,17:15:00,10.4,10.6,10.2
133616,133616,2020-04-25,0.0,7.63,3.76,1.34,1.66,0.0,17:30:00,10.4,10.6,10.2
133617,133617,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,17:45:00,10.4,10.6,10.2
133618,133618,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,18:00:00,10.4,10.6,10.2
133619,133619,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,18:15:00,10.4,10.6,10.2
133620,133620,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,18:30:00,10.4,10.6,10.2
133621,133621,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,18:45:00,10.4,10.6,10.2
133622,133622,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,19:00:00,10.4,10.6,10.2
133623,133623,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,19:15:00,10.4,10.6,10.2
133624,133624,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,19:30:00,10.4,10.6,10.2
133625,133625,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,19:45:00,10.4,10.6,10.2
133626,133626,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,20:00:00,10.4,10.6,10.2
133627,133627,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,20:15:00,10.4,10.6,10.2
133628,133628,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,20:30:00,10.4,10.6,10.2
133629,133629,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,20:45:00,10.4,10.6,10.2
133630,133630,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,21:00:00,10.4,10.6,10.2
133631,133631,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,21:15:00,10.4,10.6,10.2
133632,133632,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,21:30:00,10.4,10.6,10.2
133633,133633,2020-04-25,0.0,7.63,3.76,1.33,1.66,0.0,21:45:00,10.4,10.6,10.2
133634,133634,2020-04-25,0.0,7.63,3.76,1.33,1.65,0.0,22:00:00,10.4,10.6,10.2
133635,133635,2020-04-25,0.0,7.63,3.76,1.33,1.65,0.0,22:15:00,10.4,10.6,10.2
133636,133636,2020-04-25,0.0,7.63,3.77,1.33,1.65,0.0,22:30:00,10.4,10.6,10.2
133637,133637,2020-04-25,0.0,7.63,3.77,1.33,1.65,0.0,22:45:00,10.4,10.6,10.2
133638,133638,2020-04-25,0.0,7.63,3.77,1.33,1.65,0.0,23:00:00,10.4,10.6,10.2
133639,133639,2020-04-25,0.0,7.63,3.77,1.33,1.65,0.0,23:15:00,10.4,10.6,10.2
133640,133640,2020-04-25,0.0,7.63,3.77,1.32,1.65,0.0,23:30:00,10.4,10.6,10.2
133641,133641,2020-04-25,0.0,7.63,3.77,1.32,1.65,0.0,23:45:00,10.4,10.6,10.2
133642,133642,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,00:00:00,6.6,6.4,6.4
133643,133643,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,00:15:00,6.6,6.4,6.4
133644,133644,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,00:30:00,6.6,6.4,6.4
133645,133645,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,00:45:00,6.6,6.4,6.4
133646,133646,2020-04-26,0.01,7.63,3.77,1.32,1.65,0.0,01:00:00,6.6,6.4,6.4
133647,133647,2020-04-26,0.01,7.63,3.77,1.32,1.65,0.0,01:15:00,6.6,6.4,6.4
133648,133648,2020-04-26,0.01,7.63,3.77,1.32,1.65,0.0,01:30:00,6.6,6.4,6.4
133649,133649,2020-04-26,0.01,7.63,3.77,1.32,1.65,0.0,01:45:00,6.6,6.4,6.4
133650,133650,2020-04-26,0.01,7.63,3.77,1.32,1.65,0.0,02:00:00,6.6,6.4,6.4
133651,133651,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,02:15:00,6.6,6.4,6.4
133652,133652,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,02:30:00,6.6,6.4,6.4
133653,133653,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,02:45:00,6.6,6.4,6.4
133654,133654,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,03:00:00,6.6,6.4,6.4
133655,133655,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,03:15:00,6.6,6.4,6.4
133656,133656,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,03:30:00,6.6,6.4,6.4
133657,133657,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,03:45:00,6.6,6.4,6.4
133658,133658,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,04:00:00,6.6,6.4,6.4
133659,133659,2020-04-26,0.0,7.63,3.77,1.32,1.65,0.0,04:15:00,6.6,6.4,6.4
133660,133660,2020-04-26,0.0,7.63,3.78,1.32,1.65,0.0,04:30:00,6.6,6.4,6.4
133661,133661,2020-04-26,0.0,7.63,3.78,1.32,1.65,0.0,04:45:00,6.6,6.4,6.4
133662,133662,2020-04-26,0.0,7.63,3.78,1.32,1.65,0.0,05:00:00,6.6,6.4,6.4
133663,133663,2020-04-26,0.0,7.63,3.78,1.32,1.65,0.0,05:15:00,6.6,6.4,6.4
133664,133664,2020-04-26,0.0,7.63,3.78,1.31,1.65,0.0,05:30:00,6.6,6.4,6.4
133665,133665,2020-04-26,0.0,7.63,3.78,1.31,1.65,0.0,05:45:00,6.6,6.4,6.4
133666,133666,2020-04-26,0.0,7.63,3.78,1.31,1.64,0.0,06:00:00,6.6,6.4,6.4
133667,133667,2020-04-26,0.0,7.63,3.78,1.31,1.64,0.0,06:15:00,6.6,6.4,6.4
133668,133668,2020-04-26,0.0,7.63,3.78,1.31,1.64,0.0,06:30:00,6.6,6.4,6.4
133669,133669,2020-04-26,0.0,7.63,3.78,1.31,1.64,0.0,06:45:00,6.6,6.4,6.4
133670,133670,2020-04-26,0.0,7.63,3.78,1.31,1.64,0.0,07:00:00,6.6,6.4,6.4
