,Unnamed: 0,Date,Time,DateTime,Solar0,Solar1,Solar2,Solar3,Solar4,Solar5,olympic_solar,oakleigh_solar,moorabbin_solar
0,133602,2020-04-25,14:00:00,2020-04-25 14:00:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
1,133603,2020-04-25,14:15:00,2020-04-25 14:15:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
2,133604,2020-04-25,14:30:00,2020-04-25 14:30:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
3,133605,2020-04-25,14:45:00,2020-04-25 14:45:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
4,133606,2020-04-25,15:00:00,2020-04-25 15:00:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
5,133607,2020-04-25,15:15:00,2020-04-25 15:15:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
6,133608,2020-04-25,15:30:00,2020-04-25 15:30:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
7,133609,2020-04-25,15:45:00,2020-04-25 15:45:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
8,133610,2020-04-25,16:00:00,2020-04-25 16:00:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
9,133611,2020-04-25,16:15:00,2020-04-25 16:15:00,0.0,7.63,3.75,1.34,1.66,0.0,10.4,10.6,10.2
10,133612,2020-04-25,16:30:00,2020-04-25 16:30:00,0.0,7.63,3.76,1.34,1.66,0.0,10.4,10.6,10.2
11,133613,2020-04-25,16:45:00,2020-04-25 16:45:00,0.0,7.63,3.76,1.34,1.66,0.0,10.4,10.6,10.2
12,133614,2020-04-25,17:00:00,2020-04-25 17:00:00,0.0,7.63,3.76,1.34,1.66,0.0,10.4,10.6,10.2
13,133615,2020-04-25,17:15:00,2020-04-25 17:15:00,0.0,7.63,3.76,1.34,1.66,0.0,10.4,10.6,10.2
14,133616,2020-04-25,17:30:00,2020-04-25 17:30:00,0.0,7.63,3.76,1.34,1.66,0.0,10.4,10.6,10.2
15,133617,2020-04-25,17:45:00,2020-04-25 17:45:00,0.0,7.63,3.76,1.33,1.66,0.0,10.4,10.6,10.2
16,133618,2020-04-25,18:00:00,2020-04-25 18:00:00,0.0,7.63,3.76,1.33,1.66,0.0,10.4,10.6,10.2
17,133619,2020-04-25,18:15:00,2020-04-25 18:15:00,0.0,7.63,3.76,1.33,1.66,0.0,10.4,10.6,10.2
18,133620,2020-04-25,18:30:00,2020-04-25 18:30:00,0.0,7.63,3.76,1.33,1.66,0.0,10.4,10.6,10.2
19,133621,2020-04-25,18:45:00,2020-04-25 18:45:00,0.0,7.63,3.76,1.33,1.66,0.0,10.4,10.6,10.2
