Date,olympic_max_temp,moorabbin_max_temp,olympic_min_temp,moorabbin_min_temp,olympic_rain,oakleigh_rain,moorabbin_rain,olympic_solar,oakleigh_solar,moorabbin_solar
2013-01-01,,22.8,,13.3,,0.0,0.0,31.1,30.5,29.4
2013-01-02,,20.5,,12.6,,0.0,0.0,31.9,32.8,33.0
2013-01-03,,36.5,,12.0,,0.0,0.0,32.8,32.2,31.9
2013-01-04,,41.5,,18.6,,0.0,0.0,33.5,33.6,33.6
2013-01-05,,26.2,,18.8,,0.0,0.0,30.5,31.4,29.6
2013-01-06,,28.5,,14.0,,0.0,0.0,32.1,32.4,33.3
2013-01-07,,27.9,,13.8,,0.0,0.0,33.3,33.4,33.5
2013-01-08,,28.3,,16.8,,0.0,0.0,27.1,25.3,24.1
2013-01-09,,20.0,,11.9,,1.8,1.2,27.5,28.9,29.1
2013-01-10,,27.3,,14.0,,0.0,0.0,31.5,31.4,30.6
2013-01-11,,38.7,,16.0,,0.6,0.0,29.4,29.2,28.2
2013-01-12,,23.7,,14.8,,0.0,0.0,13.6,15.5,14.6
2013-01-13,,19.0,,14.7,,0.0,0.0,5.3,5.4,5.1
2013-01-14,,21.7,,11.7,,0.0,0.0,30.5,30.1,31.0
2013-01-15,,26.2,,8.5,,0.0,0.0,32.6,32.9,32.7
2013-01-16,,26.8,,11.7,,0.0,0.0,32.3,31.0,30.8
2013-01-17,,41.1,,12.2,,0.0,0.0,26.3,25.6,26.3
2013-01-18,,23.6,,20.3,,0.0,0.0,18.9,18.4,19.1
2013-01-19,,22.1,,14.6,,0.0,0.0,27.0,29.4,30.0
2013-01-20,,25.0,,10.4,,0.0,0.0,32.2,32.2,32.2
2013-01-21,,24.1,,14.8,,0.0,0.0,29.4,29.3,29.9
2013-01-22,,24.5,,16.1,,0.0,0.0,28.3,26.5,28.4
2013-01-23,,25.2,,13.7,,0.0,0.0,31.3,31.7,31.3
2013-01-24,,36.0,,13.1,,0.0,0.0,30.8,30.9,31.2
2013-01-25,,26.2,,18.2,,0.0,0.0,9.6,13.9,12.2
2013-01-26,,20.1,,14.4,,0.0,0.0,12.5,10.2,10.8
2013-01-27,,23.2,,14.8,,0.0,0.2,26.8,26.2,26.6
2013-01-28,,25.2,,11.8,,0.0,0.0,30.9,28.9,30.7
2013-01-29,,21.1,,14.7,,8.0,1.0,22.8,16.2,17.4
2013-01-30,,26.9,,12.4,,0.0,0.0,30.8,30.9,30.8
2013-01-31,,24.8,,13.7,,0.0,0.0,16.0,17.9,18.0
2013-02-01,,20.1,,12.6,,30.0,21.6,25.8,22.6,22.5
2013-02-02,,21.1,,10.2,,,0.2,29.6,27.8,28.0
2013-02-03,,24.8,,15.5,,,3.8,27.9,25.3,25.7
2013-02-04,,22.8,,14.6,,6.0,0.2,26.7,26.9,27.6
2013-02-05,,27.6,,11.3,,0.0,0.0,29.5,29.1,28.7
2013-02-06,,37.0,,15.1,,0.0,0.0,28.0,28.1,28.5
2013-02-07,,28.6,,19.0,,0.0,0.0,29.3,28.4,29.5
2013-02-08,,28.5,,15.0,,0.0,0.0,28.7,28.3,29.3
2013-02-09,,28.6,,13.1,,0.0,0.0,27.6,26.4,26.3
2013-02-10,,22.4,,15.5,,1.8,1.4,24.8,23.8,22.4
2013-02-11,,28.5,,13.3,,0.0,0.0,29.4,29.4,29.4
2013-02-12,,28.0,,14.9,,0.0,0.0,26.7,26.6,26.0
2013-02-13,,32.1,,13.7,,0.0,0.0,28.5,28.4,28.5
2013-02-14,,32.3,,17.1,,0.0,0.4,24.1,24.1,25.7
2013-02-15,,32.4,,17.9,,0.0,0.0,28.1,28.0,28.3
2013-02-16,,33.8,,16.3,,0.0,0.0,27.4,26.3,26.9
2013-02-17,,33.3,,15.1,,0.0,0.0,27.9,28.0,28.0
2013-02-18,,36.5,,17.1,,0.0,0.0,27.7,27.3,27.7
2013-02-19,,20.3,,19.1,,0.6,0.0,3.5,4.2,3.7
2013-02-20,,29.2,,12.4,,0.0,0.0,27.7,26.6,26.5
2013-02-21,,30.7,,16.4,,0.0,0.0,21.1,20.7,21.2
2013-02-22,,32.1,,19.6,,0.6,0.2,22.1,19.6,21.3
2013-02-23,,32.2,,15.8,,0.0,0.0,26.9,26.5,26.8
2013-02-24,,32.7,,14.7,,0.0,0.0,23.5,24.7,24.0
2013-02-25,,27.9,,20.2,,0.0,0.0,23.1,22.9,23.6
2013-02-26,,26.7,,17.2,,21.4,17.4,10.3,10.2,8.7
2013-02-27,,28.2,,17.3,,7.0,9.2,4.9,5.4,7.5
2013-02-28,,20.2,,15.2,,8.0,6.6,12.3,14.3,13.2
2013-03-01,,24.6,,12.8,,0.0,0.0,26.0,25.9,26.0
2013-03-02,,25.7,,13.5,,0.0,0.0,26.3,26.3,26.2
2013-03-03,,27.7,,11.4,,0.0,0.0,26.3,26.3,26.3
2013-03-04,,30.3,,13.5,,0.0,0.0,25.6,25.6,25.6
